CGPA,Did you do webdev during college time ?,Are you good at Data analysis ?,Are you a tech person ?,Were you in a non tech society ?,Are you good at coding ?,Have you developed mobile apps ?,Are you good at communication ?,Do you have specialization in security,Have you ever handled large databases ?,Do you have knowlege of statistics and data science?,Are you proficient in English ?,Have you ever managed some event?,Do you write technical blogs ?,Are you into marketing ?,Are you a ML expert ?,Do you have a lot of connections ?,Have you ever built live project ?,Role
7.7,yes,no,no,no,yes,no,yes,yes,no,no,no,yes,yes,no,no,no,yes,Security
8.3,yes,yes,yes,no,yes,no,no,no,no,yes,yes,no,no,no,no,no,no,Data Analysis
7.9,no,no,no,yes,no,no,yes,no,no,no,yes,yes,yes,no,no,no,no,Management
8,yes,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,yes,yes,Data Engineer
6.6,yes,no,yes,no,yes,yes,yes,no,yes,no,yes,no,yes,no,no,yes,no,Developer
8.3,no,yes,yes,no,yes,no,yes,no,no,yes,yes,no,no,no,yes,no,no,ML engineer
6.9,no,yes,yes,yes,yes,no,yes,no,yes,yes,yes,no,no,no,no,no,no,Developer
6.4,no,yes,yes,no,yes,no,yes,no,no,yes,yes,no,no,no,yes,no,no,Marketing
8.9,no,no,no,yes,no,no,yes,no,no,no,yes,yes,no,yes,no,yes,yes,Data Analysis
9.1,no,no,no,yes,no,no,no,no,no,no,yes,no,yes,no,no,yes,no,Data Engineer
6.7,yes,no,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,no,yes,no,Developer
6.7,yes,yes,yes,no,yes,no,no,no,yes,yes,yes,no,no,no,yes,no,no,Marketing
7.4,no,no,no,yes,no,no,yes,no,no,no,yes,yes,no,no,no,no,no,Network Engineer
8,yes,no,yes,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,Developer
6.4,no,no,no,yes,yes,no,yes,no,no,no,yes,no,no,no,no,yes,yes,Marketing
7.2,no,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,Developer
8.3,yes,no,yes,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,no,Developer
6.3,no,no,no,yes,no,no,yes,no,no,no,yes,yes,no,yes,no,yes,no,Data Analysis
8.5,yes,no,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,no,no,yes,Developer
7.9,yes,no,yes,no,yes,yes,yes,no,no,no,yes,no,no,no,no,yes,no,Developer
8.5,yes,yes,yes,no,yes,no,no,no,yes,yes,yes,no,no,no,yes,no,no,Data Analysis
8.2,yes,no,yes,no,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,Developer
6.8,no,no,no,yes,no,no,yes,no,no,no,yes,yes,no,no,no,no,yes,Management
7.5,yes,no,yes,no,yes,yes,yes,no,no,no,yes,no,no,no,no,no,no,Developer
7.4,yes,no,no,no,yes,yes,yes,no,no,no,yes,no,no,no,no,no,yes,Computer Analyst
9.2,yes,no,yes,no,yes,no,no,no,no,yes,no,no,no,no,yes,no,yes,ML engineer
8.5,yes,no,yes,yes,yes,yes,yes,no,no,no,yes,no,no,no,no,no,yes,Developer
8,no,no,no,yes,no,no,yes,no,no,no,yes,no,no,yes,no,yes,no,Marketing
0,no,no,no,no,no,no,yes,no,no,no,yes,yes,no,no,no,no,yes,Management
8.6,yes,yes,no,no,yes,no,no,no,no,yes,yes,no,no,no,no,no,yes,Data Analysis
7.8,no,yes,yes,yes,yes,no,yes,no,yes,yes,yes,no,no,no,no,no,yes,Computer Analyst
8.8,yes,no,yes,no,yes,yes,yes,no,yes,no,yes,no,yes,no,no,yes,yes,Developer
9.2,no,yes,yes,no,yes,no,yes,no,no,yes,yes,no,yes,no,yes,no,no,ML engineer
6.5,no,no,no,yes,no,no,yes,no,no,no,yes,yes,no,yes,no,yes,no,Marketing
7.2,no,no,no,yes,no,no,no,no,no,no,yes,no,yes,no,no,yes,no,Content Writer
8.8,yes,no,yes,no,yes,yes,yes,no,yes,no,yes,no,yes,no,no,yes,yes,Developer
9.2,no,yes,yes,no,yes,no,yes,no,no,yes,yes,no,no,no,yes,no,yes,ML engineer
6.5,no,no,no,yes,no,no,yes,no,no,no,yes,yes,no,yes,no,yes,yes,Marketing
7.2,no,no,no,yes,no,no,no,no,no,no,yes,no,yes,no,no,yes,yes,Content Writer
8.3,yes,no,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,no,yes,no,Developer
7.9,no,no,no,yes,no,no,yes,no,no,no,yes,yes,no,no,no,no,no,Management
8,yes,no,yes,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,yes,Developer
6.4,no,no,no,yes,yes,no,yes,no,no,no,yes,no,no,no,no,yes,no,Marketing
7.2,yes,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,Developer
8.4,yes,no,yes,no,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,Developer
7.3,no,yes,no,no,yes,no,no,no,yes,yes,yes,no,no,no,no,no,no,Data Engineer
8.4,no,yes,yes,yes,yes,no,yes,no,yes,yes,yes,no,no,no,no,no,no,Computer Analyst
7.8,no,no,yes,yes,yes,no,yes,no,no,no,yes,no,yes,no,no,no,yes,Content Writer
5.7,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,Content Writer
8.1,no,no,yes,no,yes,yes,no,no,no,no,yes,no,no,no,no,no,yes,Developer
9.5,no,yes,yes,no,yes,no,yes,no,no,no,yes,no,no,no,yes,yes,no,ML engineer
7.8,yes,no,yes,no,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,Developer
8.7,yes,no,no,no,yes,no,yes,yes,no,no,no,yes,no,no,no,no,no,Security
8.4,yes,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,Data Engineer
8.3,yes,no,yes,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,no,Developer
6.3,no,no,no,yes,no,no,yes,no,no,no,yes,yes,no,yes,no,yes,no,Marketing
8.5,yes,no,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,no,no,yes,Developer
7.9,yes,no,yes,no,yes,yes,yes,no,no,no,yes,no,no,no,no,yes,no,Developer
8.5,yes,yes,yes,no,yes,no,no,no,yes,yes,yes,no,no,no,yes,no,no,Data Analysis
8.2,yes,no,yes,no,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,Developer
6.8,no,no,no,yes,no,no,yes,no,no,no,yes,yes,no,no,no,no,yes,Management
9.2,no,yes,yes,no,yes,no,yes,no,no,yes,yes,no,yes,no,yes,no,no,ML engineer
6.5,no,no,no,yes,no,no,yes,no,no,no,yes,yes,no,yes,no,yes,no,Marketing
6.5,no,no,no,yes,no,no,yes,no,no,no,yes,yes,no,yes,no,yes,yes,Marketing
7.2,no,no,no,yes,no,no,no,no,no,no,yes,no,yes,no,no,yes,yes,Content Writer
8.3,yes,no,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,no,yes,no,Developer
7.9,no,no,no,yes,no,no,yes,no,no,no,yes,yes,no,no,no,no,no,Management
8,yes,no,yes,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,yes,Developer
8.1,yes,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,yes,yes,Data Engineer
8.9,yes,yes,yes,no,yes,no,no,no,yes,yes,yes,no,no,no,yes,no,no,Data Analysis
7.4,yes,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,yes,no,Data Engineer
5.6,yes,no,yes,no,yes,yes,yes,no,yes,no,yes,no,yes,no,no,yes,no,Developer
7.8,yes,no,yes,no,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,Developer
8.7,yes,no,no,no,yes,no,yes,yes,no,no,no,yes,no,no,no,no,no,Security
8.4,yes,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,Data Engineer
8.3,yes,no,yes,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,no,Developer
6.3,no,no,no,yes,no,no,yes,no,no,no,yes,yes,no,yes,no,yes,no,Marketing
6.9,no,yes,yes,yes,yes,no,yes,no,yes,yes,yes,no,no,no,no,no,no,Computer Analyst
7.8,no,no,no,yes,yes,yes,yes,no,no,no,yes,no,no,no,no,no,yes,Computer Analyst
7,yes,no,yes,no,yes,yes,yes,no,no,no,yes,no,no,no,no,yes,no,Developer
6.3,no,no,no,yes,no,no,yes,no,no,no,yes,yes,no,yes,no,yes,no,Marketing
9.1,no,no,no,no,no,no,yes,no,no,no,yes,yes,no,no,no,no,no,Management
8.2,yes,yes,yes,no,yes,no,no,no,yes,yes,yes,no,no,no,yes,no,no,Data Analysis
9.4,no,no,no,no,yes,yes,yes,no,no,no,yes,no,no,no,no,no,no,Computer Analyst
9.1,yes,no,yes,no,yes,yes,no,no,no,no,yes,no,no,no,no,no,yes,Developer
9.2,no,yes,yes,no,yes,no,yes,no,no,yes,yes,no,yes,no,yes,no,no,ML engineer
6.5,no,no,no,yes,no,no,yes,no,no,no,yes,yes,no,yes,no,yes,no,Marketing
8.5,yes,no,yes,yes,yes,yes,yes,no,no,no,yes,no,no,no,no,no,yes,Developer
8,no,no,no,yes,no,no,yes,no,no,no,yes,no,no,yes,no,yes,no,Marketing
0,no,no,no,no,no,no,yes,no,no,no,yes,yes,no,no,no,no,yes,Management
8.6,yes,yes,no,no,yes,no,no,no,no,yes,yes,no,no,no,no,no,yes,Data Analysis
8.9,yes,yes,yes,no,yes,no,no,no,yes,yes,yes,no,no,no,yes,no,no,Data Analysis
7.4,yes,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,yes,no,Data Engineer
5.6,yes,no,yes,no,yes,yes,yes,no,yes,no,yes,no,yes,no,no,yes,no,Developer
8.3,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,Content Writer
7,yes,no,yes,no,yes,yes,yes,no,no,no,yes,no,no,no,no,yes,no,Developer
6.3,no,no,no,yes,yes,no,yes,no,no,no,yes,yes,no,yes,no,yes,no,Marketing
8.9,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,Content Writer
7,yes,no,yes,no,yes,yes,yes,no,no,no,yes,no,no,no,no,yes,no,Developer
6.3,no,no,no,yes,yes,no,yes,no,no,no,yes,yes,no,yes,no,yes,no,Marketing
8.9,yes,yes,yes,no,yes,no,no,no,yes,yes,yes,no,no,no,yes,no,no,Data Analysis
7.4,yes,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,yes,no,Data Engineer
5.6,yes,no,yes,no,yes,yes,yes,no,yes,no,yes,no,yes,no,no,yes,no,Developer
9.8,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,Content Writer
7,yes,no,yes,no,yes,yes,yes,no,no,no,yes,no,no,no,no,yes,no,Developer
6.3,no,no,no,yes,yes,no,yes,no,no,no,yes,yes,no,yes,no,yes,no,Marketing
6.8,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,Content Writer
7,yes,no,yes,no,yes,yes,yes,no,no,no,yes,no,no,no,no,yes,no,Developer
6.3,no,no,no,yes,yes,no,yes,no,no,no,yes,yes,no,yes,no,yes,no,Marketing
8.3,yes,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,yes,yes,Developer
9.1,yes,yes,yes,no,yes,no,no,no,yes,yes,yes,no,yes,no,yes,no,no,Data Analysis
7.3,no,no,no,yes,no,no,yes,no,no,no,yes,yes,yes,no,no,no,yes,Management
7.2,yes,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,Developer
8.4,yes,no,yes,no,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,Developer
7.3,no,yes,no,no,yes,no,no,no,yes,yes,yes,no,no,no,no,no,no,Data Engineer
8.4,no,yes,yes,yes,yes,no,yes,no,yes,yes,yes,no,no,no,no,no,no,Computer Analyst
7.8,no,no,yes,yes,yes,no,yes,no,no,no,yes,no,yes,no,no,no,yes,Content Writer
5.7,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,Content Writer
8.1,no,no,yes,no,yes,yes,no,no,no,no,yes,no,no,no,no,no,yes,Developer
9.5,no,yes,yes,no,yes,no,yes,no,no,no,yes,no,no,no,yes,yes,no,ML engineer
9.1,no,no,no,no,no,no,yes,no,no,no,yes,yes,no,no,no,no,no,Management
8.2,yes,yes,yes,no,yes,no,no,no,yes,yes,yes,no,no,no,yes,no,no,Data Analysis
9.4,no,no,no,no,yes,yes,yes,no,no,no,yes,no,no,no,no,no,no,Computer Analyst
5.9,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,Content Writer
9.9,yes,no,yes,no,yes,no,no,no,no,yes,no,no,no,no,yes,no,yes,ML engineer
6.1,no,no,no,yes,no,no,yes,no,no,no,yes,yes,no,no,no,no,no,Management
6.5,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,no,no,yes,Content Writer
9.1,no,no,no,no,no,no,yes,no,no,no,yes,yes,no,no,no,no,no,Management
8.2,yes,yes,yes,no,yes,no,no,no,yes,yes,yes,no,no,no,yes,no,no,Data Analysis
9.4,no,no,no,no,yes,yes,yes,no,no,no,yes,no,no,no,no,no,no,Data Engineer
5.9,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,Developer
8.5,no,yes,yes,yes,yes,no,yes,no,yes,yes,yes,no,no,no,no,no,no,Content Writer
8.9,yes,yes,yes,no,yes,no,no,no,yes,yes,yes,no,no,no,yes,no,no,Developer
7.4,yes,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,yes,no,Marketing
5.6,yes,no,yes,no,yes,yes,yes,no,yes,no,yes,no,yes,no,no,yes,no,Content Writer
9.8,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,Developer
7,yes,no,yes,no,yes,yes,yes,no,no,no,yes,no,no,no,no,yes,no,Marketing
6.3,no,no,no,yes,yes,no,yes,no,no,no,yes,yes,no,yes,no,yes,no,Data Analysis
6.8,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,Data Engineer
7,yes,no,yes,no,yes,yes,yes,no,no,no,yes,no,no,no,no,yes,no,Developer
6.3,no,no,no,yes,yes,no,yes,no,no,no,yes,yes,no,yes,no,yes,no,Marketing
8.3,yes,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,yes,yes,Network Engineer
9.1,yes,yes,yes,no,yes,no,no,no,yes,yes,yes,no,yes,no,yes,no,no,Developer
7.3,no,no,no,yes,no,no,yes,no,no,no,yes,yes,yes,no,no,no,yes,Marketing
7.2,yes,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,Developer
8.4,no,yes,yes,yes,yes,no,yes,no,yes,yes,yes,no,no,no,no,no,no,Developer
7.9,yes,no,yes,no,yes,yes,yes,no,no,no,yes,no,no,no,no,yes,no,Data Analysis
8.5,yes,yes,yes,no,yes,no,no,no,yes,yes,yes,no,no,no,yes,no,no,Developer
8.2,yes,no,yes,no,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,Management
6.8,no,no,no,yes,no,no,yes,no,no,no,yes,yes,no,no,no,no,yes,Developer
9.2,no,yes,yes,no,yes,no,yes,no,no,yes,yes,no,yes,no,yes,no,no,Computer Analyst
6.5,no,no,no,yes,no,no,yes,no,no,no,yes,yes,no,yes,no,yes,no,ML engineer
6.5,no,no,no,yes,no,no,yes,no,no,no,yes,yes,no,yes,no,yes,yes,Developer
7.9,yes,no,yes,no,yes,yes,yes,no,no,no,yes,no,no,no,no,yes,no,Marketing
8.5,yes,yes,yes,no,yes,no,no,no,yes,yes,yes,no,no,no,yes,no,no,Data Analysis
8.2,yes,no,yes,no,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,Developer
6.8,no,no,no,yes,no,no,yes,no,no,no,yes,yes,no,no,no,no,yes,Content Writer
7.5,yes,no,yes,no,yes,yes,yes,no,no,no,yes,no,no,no,no,no,no,Management
7.4,yes,no,no,no,yes,yes,yes,no,no,no,yes,no,no,no,no,no,yes,Data Analysis
9.2,yes,no,yes,no,yes,no,no,no,no,yes,no,no,no,no,yes,no,yes,Computer Analyst
8.2,no,yes,yes,yes,yes,no,yes,no,yes,yes,yes,no,no,no,no,no,no,Content Writer
7.7,yes,no,no,no,yes,no,yes,yes,no,no,no,yes,yes,no,no,no,yes,Computer Analyst
8.3,yes,yes,yes,no,yes,no,no,no,no,yes,yes,no,no,no,no,no,no,Data Analysis
7.9,no,no,no,yes,no,no,yes,no,no,no,yes,yes,yes,no,no,no,no,Management
8,yes,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,yes,yes,Data Engineer
6.6,yes,no,yes,no,yes,yes,yes,no,yes,no,yes,no,yes,no,no,yes,no,Developer
8.3,no,yes,yes,no,yes,no,yes,no,no,yes,yes,no,no,no,yes,no,no,ML engineer
6.9,no,yes,yes,yes,yes,no,yes,no,yes,yes,yes,no,no,no,no,no,no,Computer Analyst
6.4,no,yes,yes,no,yes,no,yes,no,no,yes,yes,no,no,no,yes,no,no,Network Engineer
8.9,no,no,no,yes,no,no,yes,no,no,no,yes,yes,no,yes,no,yes,yes,Marketing
9.1,no,no,no,yes,no,no,no,no,no,no,yes,no,yes,no,no,yes,no,Content Writer
6.7,yes,no,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,no,yes,no,Management
6.7,yes,yes,yes,no,yes,no,no,no,yes,yes,yes,no,no,no,yes,no,no,ML engineer
8,yes,no,no,no,yes,no,yes,yes,no,no,no,yes,yes,no,no,no,no,Security
8.1,yes,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,yes,no,ML engineer
8.9,yes,yes,yes,no,yes,no,no,no,yes,yes,yes,no,no,no,yes,no,no,Content Writer
7,yes,no,yes,no,yes,yes,yes,no,no,no,yes,no,no,no,no,yes,yes,ML engineer
6.3,no,no,no,yes,no,no,yes,no,no,no,yes,yes,no,yes,no,yes,no,Management
9.1,yes,no,no,no,no,no,yes,no,no,no,yes,yes,no,no,no,no,no,Content Writer
8.2,yes,yes,yes,no,yes,no,no,no,yes,yes,yes,no,no,no,yes,no,no,Computer Analyst
9.4,no,no,no,no,yes,yes,yes,no,no,no,yes,no,no,no,no,yes,no,Marketing
9.1,yes,no,yes,no,yes,yes,no,no,no,no,yes,no,no,no,no,no,yes,Content Writer
8.7,yes,no,no,no,yes,no,yes,yes,no,no,no,yes,yes,no,no,no,no,Computer Analyst
8.6,no,yes,yes,no,yes,no,yes,no,no,yes,yes,no,no,no,yes,no,no,Developer
5.9,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,Marketing
9.9,yes,no,yes,no,yes,no,no,no,no,yes,no,yes,no,no,yes,yes,yes,Network Engineer
7.2,no,no,no,yes,no,no,no,no,no,no,yes,no,yes,no,no,yes,no,Content Writer
8.8,yes,no,yes,no,yes,yes,yes,no,yes,no,yes,no,yes,no,no,yes,yes,Developer
9.2,no,yes,yes,no,yes,no,yes,no,no,yes,yes,no,no,no,yes,no,yes,ML engineer
6.5,no,no,no,yes,no,no,yes,no,no,no,yes,yes,no,yes,no,yes,yes,Marketing
7.2,no,no,no,yes,no,no,no,no,no,no,yes,no,yes,no,no,yes,yes,Content Writer
8.3,yes,no,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,no,yes,no,Developer
8.3,yes,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,yes,yes,Developer
9.1,yes,yes,yes,no,yes,no,no,no,yes,yes,yes,no,yes,no,yes,no,no,Data Analysis
7.3,no,no,no,yes,no,no,yes,no,no,no,yes,yes,yes,no,no,no,yes,Network Engineer
8.1,no,no,no,yes,yes,yes,yes,no,no,no,yes,no,yes,no,no,no,yes,Computer Analyst
9.5,yes,no,no,no,yes,no,yes,yes,no,no,no,yes,no,no,no,yes,no,Security
9.2,yes,yes,yes,yes,yes,yes,no,no,no,yes,yes,yes,yes,no,yes,yes,no,Developer
5.5,no,no,no,no,no,no,yes,no,no,no,yes,yes,yes,no,no,yes,no,Management
7.5,no,no,no,yes,no,no,yes,no,yes,no,yes,yes,no,yes,no,yes,yes,Marketing
8.6,no,yes,yes,no,yes,no,yes,no,no,yes,yes,no,no,no,yes,no,no,ML engineer
5.9,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,Content Writer
9.9,no,no,yes,no,yes,no,no,no,no,yes,no,no,no,no,yes,no,no,ML engineer
6.1,no,no,no,yes,no,no,yes,no,no,no,yes,yes,no,no,no,no,no,Management
6.5,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,yes,Content Writer
6.6,yes,no,yes,no,yes,yes,yes,no,yes,no,yes,no,yes,no,no,yes,no,Developer
5.6,yes,no,yes,no,yes,yes,yes,no,yes,no,yes,no,yes,no,no,yes,no,Developer
9.8,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,Content Writer
7,yes,no,yes,no,yes,yes,yes,no,no,no,yes,no,no,no,no,yes,no,Developer
6.3,no,no,no,yes,yes,no,yes,no,no,no,yes,yes,no,yes,no,yes,no,Marketing
6.8,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,Network Engineer
7,yes,no,yes,no,yes,yes,yes,no,no,no,yes,no,no,no,no,yes,no,Developer
6.3,no,no,no,yes,yes,no,yes,no,no,no,yes,yes,no,yes,no,yes,no,Marketing
8.3,yes,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,yes,yes,Developer
9.1,yes,yes,yes,no,yes,no,no,no,yes,yes,yes,no,yes,no,yes,no,no,Data Analysis
6.1,no,no,no,yes,no,no,yes,no,no,no,yes,yes,no,no,no,no,no,Management
6.5,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,yes,Content Writer
6.6,yes,no,yes,no,yes,yes,yes,no,yes,no,yes,no,yes,no,no,yes,no,Developer
8.3,no,yes,yes,no,yes,no,yes,no,no,yes,yes,no,no,no,yes,no,yes,ML engineer
6.9,no,yes,yes,yes,yes,no,yes,no,yes,yes,yes,no,no,no,no,no,no,Computer Analyst
7.4,yes,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,yes,no,Data Engineer
5.6,yes,no,yes,no,yes,yes,yes,no,yes,no,yes,no,yes,no,no,yes,yes,Developer
7.7,no,no,no,no,yes,no,yes,yes,no,no,no,yes,yes,no,no,no,yes,Security
6.5,no,no,no,yes,no,no,yes,no,no,no,yes,yes,no,yes,no,yes,no,Marketing
6.9,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,yes,no,yes,Content Writer
8.8,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,Content Writer
6.7,no,yes,yes,yes,yes,no,yes,no,yes,yes,yes,no,no,no,no,no,no,Computer Analyst
5.1,no,no,no,yes,no,no,yes,no,no,no,yes,yes,no,no,no,no,no,Management
6.4,no,yes,yes,no,yes,no,yes,no,no,yes,yes,no,no,no,yes,no,yes,ML engineer
8.7,yes,no,no,no,yes,no,yes,yes,no,no,no,yes,yes,no,no,no,no,Security
8.6,no,yes,yes,no,yes,no,yes,no,no,yes,yes,no,no,no,yes,no,no,ML engineer
5.9,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,Content Writer
9.9,yes,no,yes,no,yes,no,no,no,no,yes,no,no,no,no,yes,no,yes,ML engineer
6.1,no,no,no,yes,no,no,yes,no,no,no,yes,yes,no,no,no,no,no,Management
6.5,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,no,no,yes,Content Writer
7,no,no,no,yes,yes,yes,yes,no,no,no,yes,no,no,no,no,no,no,Computer Analyst
8.9,no,no,no,yes,no,no,yes,no,no,no,yes,yes,no,yes,no,yes,no,Marketing
9.1,no,no,no,yes,no,no,no,no,no,no,yes,no,yes,no,no,yes,no,Content Writer
8.1,no,yes,yes,yes,yes,no,yes,no,yes,yes,yes,no,no,no,no,no,no,Computer Analyst
8,yes,no,yes,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,Developer
6.4,no,no,no,yes,yes,no,yes,no,no,no,yes,no,no,no,no,yes,yes,Marketing
7.2,no,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,Network Engineer
8.3,yes,no,yes,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,no,Developer
6.3,no,no,no,yes,no,no,yes,no,no,no,yes,yes,no,yes,no,yes,no,Marketing
8.5,yes,no,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,no,no,yes,Developer
7.9,yes,no,yes,no,yes,yes,yes,no,no,no,yes,no,no,no,no,yes,no,Developer
8.5,yes,yes,yes,no,yes,no,no,no,yes,yes,yes,no,no,no,yes,no,no,Data Analysis
8.2,yes,no,yes,no,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,Developer
6.8,no,no,no,yes,no,no,yes,no,no,no,yes,yes,no,no,no,no,yes,Management
7.5,yes,no,yes,no,yes,yes,yes,no,no,no,yes,no,no,no,no,no,no,Developer
7.4,yes,no,no,no,yes,yes,yes,no,no,no,yes,no,no,no,no,no,yes,Computer Analyst
9.2,yes,no,yes,no,yes,no,no,no,no,yes,no,no,no,no,yes,no,yes,ML engineer
8.5,yes,no,yes,yes,yes,yes,yes,no,no,no,yes,no,no,no,no,no,yes,Developer
8,no,no,no,yes,no,no,yes,no,no,no,yes,no,no,yes,no,yes,no,Marketing